ATTRIBUTE_MouseNumber	ATTRIBUTE_treatment	X691.313_8.563T	X486.749_6.292T	X695.412_8.133T	X582.796_6.426T	X972.48_8.495T	X805.026_7.156T	X977.436_8.493T	X318.095_0.426T	X819.965_6.406T	X261.217_0.415T	X584.299_6.428T	X302.121_0.391T	X496.376_7.874T	X700.452_8.221T	X723.541_9.21T	X309.184_7.468T	X312.111_0.472T	X700.452_8.069T	X1015.667_6.476T	X570.355_6.527T	X548.301_8.314T	X287.625_6.125T	X351.283_9.218.1T	X553.257_8.315T	X349.273_7.438T	X260.074_0.306T	X550.828_7.156T	X700.452_8.244T	X316.136_0.564T	X342.278_9.453T	X331.284_8.013T	X991.672_6.555T	X566.322_6.247T	X299.149_6.287T	X575.313_6.429T	X326.305_7.772T	X287.625_6.125.1T	X531.275_8.315T	X190.045_0.743T	X428.373_7.085T	X504.343_6.709T	X480.345_6.751T	X471.347_5.892T	X422.326_6.18T	X570.795_6.419T	X552.332_7.158T	X572.299_6.419T	X510.392_7.342T	X372.311_6.081T	X543.345_7.157T	X440.314_6.633T	X276.107_5.925T	X560.299_6.413T	X675.422_9.824T	X275.625_6.174T	X174.113_0.589T	X506.36_6.509T	X242.1_0.812T	X398.326_6.263T	X482.324_6.265T	X508.376_6.874T	X278.639_6.12T	X225.11_3.082T	X331.263_8.251T	X510.356_6.849T	X263.237_8.165T	X446.326_6.211T	X279.232_7.817T	X524.372_7.157T	X387.193_5.958T	X453.188_5.844T	X562.327_7.159T	X281.247_8.168T	X268.154_5.176T	X359.151_7.785T	X546.354_7.157T	X496.34_6.555T	X165.055_0.468T	X182.081_0.47T	X95.05_0.473T	X147.044_0.475T	X177.061_0.254T	X90.055_0.297T	X91.055_0.471T	X136.076_0.472T	X327.051_0.249T	X182.191_3.468T	X170.093_0.295T	X133.097_0.448T	X258.279_6.127T	X185.031_0.417T	X81.519_5.856T	X230.248_5.559T	X272.222_6.574T	X196.155_0.579T
m31	benznidazole	0.0000643	0	0.0000435	0	0.0000735	0.000115012	0.00015012	0.000112632	0	0.000306199	0.0000125	0.001294964	0.00000541	0.000186773	0.0000487	0.00000474	0.001687114	0.000156715	0.000120038	0.000145326	0.000108181	0.0000218	0.0000574	0.000106134	0.0000512	0.000239003	0.000163802	0.0000111	0.001613966	0.000018	0.000125481	0.003246235	0.0000169	0.0000467	0.0000329	0.0000304	0.0000206	0.0000985	0.0000102	0.000267902	0.000218761	0.0001835	0.0000125	0.0000187	0.000055	0.000575494	0.0000626	0.000220192	0.000286809	0.00074184	0.0000658	0.00000779	0.000111256	0	0.000061	0.000161605	0.0000892	0.000135516	0.000123987	0.000832443	0.000794738	0.0000694	0.0000276	0.00000354	0.002749934	0.0000911	0.0000222	0.00000498	0.056135282	0.000175945	0.00014958	0.000107968	0.000182834	0.0000133	0	0.006089744	0.108270642	0.001729991	0.014556059	0.000155545	0.000237318	0.000111982	0.001864029	0.000155357	0.001642954	0.0000339	0.0000801	0.0000245	0.0000432	0.0000281	0.0000224	0.0000109	0.001393781	0.0000013	0.00000588
m32	benznidazole	0.000086	0.0000187	0.0000423	0.0000174	0.0000386	0.000121449	0.0000883	0.0000599	0.00000802	0	0.0000443	0.001418783	0.0000822	0.000135667	0.000166239	0.0000178	0.001742485	0.0000797	0.000054	0.000226466	0.0000861	0.0000231	0.0000428	0.000100807	0.0000605	0.000253106	0.000321441	0.00000588	0.001453472	0.0000197	0.0000815	0.003012051	0.0000201	0.0000323	0.0000729	0.0000238	0.0000411	0.0000797	0.0000149	0.000135148	0.0000856	0.000111622	0.0000388	0.0000071	0.0000466	0.001137772	0.000106985	0.000206754	0.0000892	0.001038166	0.000102589	0.00000845	0.00016881	0.00000807	0.0000949	0.000195904	0.0000359	0.000101148	0.000083	0.00072075	0.000415897	0.000105311	0.0000275	0.0000713	0.002839187	0.0000927	0.0000177	0.000143721	0.064842296	0.000141269	0.000121745	0.0000711	0.000194837	0.0000218	0.0000717	0.004991587	0.118242093	0.001215718	0.010912185	0.00019582	0.00012786	0.0000932	0.001580813	0.0000956	0.00130524	0.0000168	0.000122478	0.0000308	0.0000449	0.0000347	0.00000795	0.0000245	0.001444206	0.00000832	0.00000486
m33	benznidazole	0.0000483	0.0000485	0.0000346	0.0000204	0.0000533	0.000205182	0.000129036	0.0000717	0.0000192	0.0000443	0.0000605	0.000203598	0.0000564	0.000249917	0.0000263	0.000067	0.001276417	0.0000343	0.000169667	0.000845501	0.0000937	0.000023	0.000195478	0.000095	0.0000455	0.000173008	0.000355834	0.0000764	0.001926875	0.0000641	0.000149157	0.004988352	0.000037	0.0000317	0.0000706	0.0000222	0.0000371	0.0000754	0.000019	0.000140741	0.000102194	0.000180002	0.0000513	0.0000186	0.0000559	0.001428341	0.000113952	0.000302882	0.0000962	0.001257622	0.0000828	0.0000151	0.00020774	0.0000164	0.00010592	0.000116642	0.0000583	0.000084	0.0000743	0.000960172	0.000607352	0.0000964	0.0000328	0.0000845	0.003668105	0.0000916	0.0000255	0.000117213	0.084394259	0.000171289	0.000212933	0.0000985	0.000198306	0.0000282	0.0000775	0.005639831	0.127155247	0.001547321	0.013066548	0.000122006	0.000212882	0.0000874	0.001303198	0.000173805	0.001595787	0.0000286	0.0000975	0.0000167	0.0000469	0.0000317	0.00000612	0.0000132	0.001232721	0.00000082	0.0000109
m34	benznidazole	0.000146997	0.0000709	0.0000491	0.0000319	0.0000502	0.00019146	0.0000763	0.000138914	0.0000301	0.000138142	0.0000508	0.001542462	0.0000649	0.000279969	0.000153302	0.0000554	0.002229171	0.0000383	0.00008	0.000196286	0.000119534	0.0000428	0.000107691	0.0000908	0.0000574	0.000194395	0.000369787	0.000128227	0.00355241	0.0000445	0.000174229	0.005032189	0.000048	0.0000498	0.000071	0.0000093	0.0000224	0.000110552	0.0000362	0.000161026	0.0000912	0.00016803	0.0000819	0.0000216	0.0000545	0.001205111	0.000120885	0.000290875	0.000128377	0.001117411	0.0000603	0.000019	0.000164697	0.0000177	0.0000966	0.000221838	0.0000486	0.000324003	0.000086	0.000930104	0.000551607	0.0000868	0.0000852	0.0000712	0.003738137	0.000101036	0.0000218	0.000138788	0.074001074	0.000216363	0.00019213	0.0000776	0.000195926	0.0000203	0.0000563	0.004666943	0.112274541	0.001116335	0.009473121	0.000114577	0.000107389	0.0000913	0.001881307	0.000101192	0.001174166	0.0000237	0.000108754	0.0000093	0.00000332	0.0000373	0.00000881	0.00000948	0.000953925	0.00000106	0.000000924
m35	benznidazole	0.0000428	0.0000584	0.0000303	0.0000191	0.0000469	0.000187349	0.0000802	0.000072	0.00000694	0.000076	0.0000479	0.001234223	0.0000308	0.0001211	0.0000765	0.000042	0.001396458	0.00000661	0.00022831	0.000880944	0.0000638	0.0000227	0.0000723	0.0000425	0.0000405	0.000133869	0.000273521	0.0000198	0.001173411	0.0000173	0.000159965	0.005604052	0.0000431	0.000029	0.0000969	0.0000117	0.0000497	0.0000615	0.0000388	0.000167815	0.000108389	0.000161088	0.000161165	0.0000199	0.0000693	0.001251998	0.000130202	0.000282182	0.000112399	0.001093218	0.0000495	0.0000198	0.000220005	0.00000459	0.0000934	0.000144527	0.00005	0.000172251	0.0000876	0.001014337	0.000500327	0.000126321	0.000038	0.0000534	0.00357789	0.0000804	0.0000126	0.000115184	0.079343647	0.000216522	0.000138938	0.0000837	0.000164852	0.0000254	0.0000526	0.005148648	0.136934325	0.001054371	0.009225396	0.000119427	0.000104508	0.000101087	0.001483697	0.0000926	0.001141736	0.0000241	0.0000999	0.00000682	0.0000518	0.0000252	0.00000628	0.00000435	0.00159953	0.00000211	0.0000119
m36	benznidazole	0.00017881	0.0000508	0.00010753	0.000038	0.0000672	0.000163158	0.000197989	0.000139031	0.0000198	0.0000906	0.0000695	0.001728077	0.0000684	0.000125678	0.0000214	0.0000554	0.001467562	0.0000222	0.0000529	0.000785733	0.000180298	0.000032	0.000211148	0.000173337	0.0000813	0.000299088	0.000409862	0.0000924	0.0037246	0.0000589	0.00017225	0.00433666	0.0000406	0.0000419	0.0000893	0.0000177	0.0000407	0.000155123	0.0000164	0.000191204	0.0000988	0.00018349	0.0000216	0.0000225	0.0000986	0.001301331	0.000128727	0.000261795	0.000145078	0.001099599	0.0000523	0.0000178	0.000141814	0.0000178	0.0001009	0.000236737	0.0000314	0.000368334	0.000129115	0.000855252	0.000449094	0.0000904	0.0000573	0.0000955	0.003316612	0.0000989	0.0000195	0.000158276	0.068814543	0.000211733	0.000126888	0.0000593	0.000208837	0.0000476	0.000102842	0.004415185	0.10922902	0.001248182	0.010741179	0.000125121	0.000159174	0.0000278	0.001004265	0.000129908	0.00127804	0.00000933	0.000103294	0.0000203	0.0000248	0.0000224	0.00000462	0.0000108	0.002551497	0.00000122	0
m37	benznidazole	0.0000863	0.0000965	0.0000831	0.0000195	0.0000483	0.000196358	0.0000755	0.00013006	0.0000127	0.000269906	0.0000386	0	0.000100733	0.000337703	0.000234565	0.0000605	0.001521185	0	0.000253254	0.000922531	0.000209852	0.0000501	0	0.000163549	0.000110032	0.000170159	0.000278737	0	0.003655608	0	0.0002718	0.006128145	0	0.0000964	0.0000829	0.0000298	0	0.000200207	0.0000851	0.000215596	0.000097	0.000230366	0.000108472	0.000048	0.0000339	0.0010448	0.0000917	0.000380641	0.000225249	0.000966049	0.0000673	0.0000667	0.000169444	0.0000255	0.000107972	0.00020883	0.0000468	0.000511508	0.000157031	0.001312571	0.000696863	0.000120105	0.000129295	0.000130726	0.00471154	0.000163156	0.0000434	0.000218451	0.082546115	0.000340364	0	0.0000657	0.00030014	0.000054	0.0000679	0.004503169	0.111039668	0.001026367	0.008524672	0.0000808	0	0.0000762	0.001192967	0	0.000937851	0.00000969	0.00010286	0.00000471	0.00000389	0.0000325	0	0	0.004367747	0	0
m38	benznidazole	0.0000265	0.0000574	0.0000446	0.00000869	0.0000409	0.000137322	0.000106718	0.0000065	0.00000686	0.000158323	0.0000256	0.000348856	0.0000218	0.000384662	0.000280388	0.0000229	0.000222768	0.0000509	0.0000619	0.00020511	0.000102762	0.0000299	0.000308437	0.0000812	0.0000432	0.000012	0.000215427	0.000172493	0.000649884	0.0000143	0.000122767	0.003855056	0.0000432	0.0000342	0.0000925	0.0000198	0.0000171	0.0000908	0.0000352	0.000113666	0.000124962	0.0001275	0.0000362	0.0000186	0.0000368	0.001011559	0.0000852	0.000247792	0.000111243	0.000876278	0.0000416	0.0000115	0.000160483	0.0000119	0.0000611	0.0000195	0.0000568	0.000105558	0.0000708	0.000905071	0.000572873	0.0000833	0.0000432	0.000094	0.003411577	0.000138996	0.000018	0.000209539	0.074728959	0.000213129	0.000262389	0.000099	0.000284505	0.0000177	0.0000662	0.006327892	0.125329585	0.001166151	0.009845079	0.000109496	0.000157255	0.000191098	0.001693597	0.00015878	0.001350031	0.0000411	0.0000889	0.0000219	0.000102076	0.0000285	0.0000152	0.000012	0.001376312	0.00000642	0.0000141
m39	benznidazole	0	0.0000202	0.0000197	0.0000159	0.000023	0.000105835	0.0000458	0.0000829	0	0.000159536	0.0000397	0.00102535	0.0000484	0.000114228	0.000100294	0.0000365	0.00124641	0.00000984	0.000225761	0.000262612	0.0000516	0.0000239	0.0000907	0.0000287	0.0000287	0.0000193	0.000200476	0.00000299	0.002743495	0.0000287	0.000122496	0.004539642	0.000042	0.0000313	0.0000921	0.0000157	0.0000168	0.0000508	0.000019	0.000101607	0.0000988	0.000185871	0.0000819	0.0000221	0.0000434	0.00083196	0.0000952	0.000219805	0.0000896	0.000802159	0.0000871	0.0000266	0.000148788	0.00000536	0.0000771	0.0000195	0.0000451	0.000105346	0.0000617	0.000931174	0.000491869	0.000102222	0.0000321	0.0000392	0.00327832	0.0000675	0.0000305	0.00011989	0.068283191	0.000155465	0.000279107	0.0000752	0.000152252	0.0000211	0.0000554	0.00543071	0.126804283	0.001272867	0.011248958	0.000108712	0.000171824	0.0000642	0.001985172	0.000132144	0.001482816	0.0000293	0.0000703	0.0000362	0.0000188	0.0000224	0.0000185	0.0000122	0.001149156	0.00000952	0.00000675
m40	benznidazole	0.0000278	0.0000678	0.0000376	0.0000466	0.0000599	0.000154857	0.000147737	0.0000457	0.00000664	0.00000889	0.0000994	0.000619708	0	0.000181519	0.0000199	0.0000414	0.00083113	0.0000994	0.0000309	0.00122383	0.000136622	0.0000344	0.0000583	0.000155084	0.0000248	0.000130228	0.0003077	0.00000343	0.000484314	0.0000579	0.000155639	0.004673052	0.0000892	0.0000552	0.000155615	0.000000713	0.000054	0.000133075	0.0000154	0.000179042	0.0000906	0.000169342	0.0000888	0.0000126	0.000055	0.001097208	0.000178211	0.000186591	0.000112621	0.00101323	0.0000407	0.0000205	0.000284951	0.0000064	0.000127763	0.0000658	0.0000315	0.000096	0.0000958	0.000866773	0.000389748	0.000123875	0.0000326	0.0000937	0.00324669	0.0000911	0.0000287	0.00018294	0.069461137	0.000177172	0.000272909	0.0000771	0.000203747	0.0000269	0.0000779	0.005012362	0.125369365	0.001593679	0.013228545	0.000125001	0.000205754	0.000129983	0.001869982	0.000177563	0.001430735	0.0000342	0.000114737	0.00000732	0.0000709	0.000169367	0.00000606	0.00000701	0.022601952	0.00000134	0.0000318
