#SampleID	tube.number	empty.tube.weight..mg.	full.tube.weight..mg.	sample.weight..mg.	volume.of.water.for.homogenization..50.mg.in.125.uL.	volume.of.methnanol.for.homogenization..50.mg.in.125.uL..minus.10.uL.volume.removed.for.DNA..except.for.samples.below.60.ul.	final.volume_aq	volume.plated_aq	DCM.MeOH.volume..50.mg.in.250.uL.	volume.plated_org	mouse.number	study	sample.type	position	Organ_Position	Digitzed_Organ_Position	days.post.infection	condition	Organ_Posotion_condition_days	imaging.plate.position	collection.date	luminescence_counts	well_Pos
GIMap_P2_Aq.Org_Mixed_B2.mzXML.Peak.area	100	1004.8	1151.8	147	367.5	357.5	725	110	735	100	m6	GI map rep 1	stomach	C	stomach_C	4	12	uninfected	stomach_C_uninfected_12	B2	42844	29.95	P2_B2
GIMap_P2_Aq.Org_Mixed_B3.mzXML.Peak.area	101	1002.9	1071.2	68.3	170.75	160.75	331.5	110	341.5	100	m6	GI map rep 1	stomach	B	stomach_B	3	12	uninfected	stomach_B_uninfected_12	B3	42844	49.9	P2_B3
GIMap_P2_Aq.Org_Mixed_B4.mzXML.Peak.area	102	1000.3	1041.3	41	102.5	92.5	195	110	205	100	m6	GI map rep 1	stomach	A	stomach_A	2	12	uninfected	stomach_A_uninfected_12	B4	42844	38.14	P2_B4
P1_Aq.Org_Mixed_A4.mzXML.Peak.area	103	1012.8	1046.1	33.3	83.25	83.25	166.5	110	166.5	100	m6	GI map rep 1	oesophagus	NA	oesophagus_NA	1	12	uninfected	oesophagus_NA_uninfected_12	B5	42844	9.409	P1_A4
GIMap_P1_LI_Aq.Org_Mixed_B10.mzXML.Peak.area	106	1009.1	1075	65.9	164.75	154.75	319.5	110	329.5	100	m7	GI map rep 1	large intestine	C	large intestine_C	13	12	uninfected	large intestine_C_uninfected_12	B8	42844	12.12	P1_B10
GIMap_P1_LI_Aq.Org_Mixed_B11.mzXML.Peak.area	107	1010.1	1100.6	90.5	226.25	216.25	442.5	110	452.5	100	m7	GI map rep 1	large intestine	B	large intestine_B	12	12	uninfected	large intestine_B_uninfected_12	B9	42844	-4.823	P1_B11
GIMap_P1_LI_Aq.Org_Mixed_B12.mzXML.Peak.area	108	1025.4	1092.7	67.3	168.25	158.25	326.5	110	336.5	100	m7	GI map rep 1	large intestine	A	large intestine_A	11	12	uninfected	large intestine_A_uninfected_12	B10	42844	35.22	P1_B12
GIMap_P1_SI_Aq.Org_Mixed_C2.mzXML.Peak.area	111	1014.4	1093.4	79	197.5	187.5	385	110	395	100	m7	GI map rep 1	small intestine	F	small intestine_F	9	12	uninfected	small intestine_F_uninfected_12	C1	42844	38.79	P1_C2
GIMap_P1_SI_Aq.Org_Mixed_C3.mzXML.Peak.area	112	1013.7	1131.1	117.4	293.5	283.5	577	110	587	100	m7	GI map rep 1	small intestine	E	small intestine_E	8	12	uninfected	small intestine_E_uninfected_12	C2	42844	-28.77	P1_C3
GIMap_P1_SI_Aq.Org_Mixed_C4.mzXML.Peak.area	113	1014.4	1256.1	241.7	604.25	594.25	1198.5	110	1208.5	100	m7	GI map rep 1	small intestine	D	small intestine_D	7	12	uninfected	small intestine_D_uninfected_12	C3	42844	-0.2144	P1_C4
